,Rafael Nadal,Roger Federer,Grigor Dimitrov,Alexander Zverev,Dominic Thiem,Marin Cilic,David Goffin,Jack Sock,Stan Wawrinka,Pablo Carreno Busta,Juan Martin Del Potro,Novak Djokovic,Sam Querrey,Kevin Anderson,Jo Wilfried Tsonga,Andy Murray,John Isner,Lucas Pouille,Tomas Berdych,Roberto Bautista Agut,Nick Kyrgios,Kei Nishikori,Albert Ramos,Milos Raonic,Gilles Muller,Diego Sebastian Schwartzman,Fabio Fognini,Adrian Mannarino,Philipp Kohlschreiber,Damir Dzumhur,Richard Gasquet,Pablo Cuevas,Mischa Zverev,Filip Krajinovic,Fernando Verdasco,Feliciano Lopez,David Ferrer,Alexandr Dolgopolov,Andrey Rublev,Yuichi Sugita,Benoit Paire,Robin Haase,Paolo Lorenzi,Steve Johnson,Karen Khachanov,Gael Monfils,Ryan Harrison,Borna Coric,Aljaz Bedene,Kyle Edmund,Denis Shapovalov,Leonardo Mayer,Jan Lennard Struff,Jared Donaldson,Viktor Troicki,Julien Benneteau,Joao Sousa,Hyeon Chung,Nikoloz Basilashvili,Peter Gojowczyk,Donald Young,Jiri Vesely,Denis Istomin,Guido Pella,Daniil Medvedev,Horacio Zeballos,Dudi Sela,Federico Delbonis,Florian Mayer,Guillermo Garcia Lopez,Yen Hsun Lu,Evgeny Donskoy,Thomas Fabbiano,Mikhail Kukushkin,Dusan Lajovic,Matthew Ebden,Steve Darcis,Jeremy Chardy,Frances Tiafoe,Ivo Karlovic,Pierre Hugues Herbert,Cedrik Marcel Stebe,Victor Estrella,Mikhail Youzhny,Marton Fucsovics,Andreas Seppi,Radu Albot,Laslo Djere,Gilles Simon,Maximilian Marterer,Stefanos Tsitsipas,Lukas Lacko,Marius Copil,Jordan Thompson,Nicolas Kicker,Tennys Sandgren,Blaz Kavcic,Malek Jaziri,Taro Daniel,Gerald Melzer
Rafael Nadal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Federer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grigor Dimitrov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Zverev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Thiem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marin Cilic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Goffin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Sock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stan Wawrinka,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Carreno Busta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
