,Player1,Player2,Outcome
0,Feliciano Lopez,Ivo Karlovic,1
1,David Ferrer,Tomas Berdych,1
2,Roger Federer,Ivo Karlovic,1
3,Fernando Verdasco,Feliciano Lopez,1
4,David Ferrer,Richard Gasquet,1
5,David Ferrer,Rafael Nadal,1
6,Tomas Berdych,Andreas Seppi,1
7,Tomas Berdych,David Ferrer,1
8,Richard Gasquet,Gael Monfils,1
9,Julien Benneteau,Rafael Nadal,1
10,Rafael Nadal,Roger Federer,1
11,Rafael Nadal,Ivo Karlovic,1
12,Mikhail Youzhny,Florian Mayer,1
13,Ivo Karlovic,Feliciano Lopez,1
14,Rafael Nadal,Richard Gasquet,1
15,David Ferrer,Guillermo Garcia Lopez,1
16,Feliciano Lopez,Philipp Kohlschreiber,1
17,Mikhail Youzhny,Rafael Nadal,1
18,Feliciano Lopez,Mikhail Youzhny,1
19,Roger Federer,Feliciano Lopez,1
20,Mikhail Youzhny,Florian Mayer,1
21,Roger Federer,Mikhail Youzhny,1
22,Fernando Verdasco,Andreas Seppi,1
23,Richard Gasquet,Fernando Verdasco,1
24,Julien Benneteau,David Ferrer,1
25,Julien Benneteau,Tomas Berdych,1
26,Ivo Karlovic,Feliciano Lopez,1
27,Roger Federer,Ivo Karlovic,1
28,Philipp Kohlschreiber,Julien Benneteau,1
29,Feliciano Lopez,Philipp Kohlschreiber,1
30,Tomas Berdych,Mikhail Youzhny,1
31,Julien Benneteau,Gilles Muller,1
32,Mikhail Youzhny,Julien Benneteau,1
33,Fernando Verdasco,David Ferrer,1
34,David Ferrer,Gilles Muller,1
35,Florian Mayer,Richard Gasquet,1
36,David Ferrer,Stan Wawrinka,1
37,David Ferrer,Novak Djokovic,1
38,Florian Mayer,David Ferrer,1
39,David Ferrer,Fernando Verdasco,1
40,Tomas Berdych,Florian Mayer,1
41,Tomas Berdych,Roger Federer,1
42,Feliciano Lopez,Tomas Berdych,1
43,Victor Estrella,Pablo Cuevas,1
44,Roger Federer,Gilles Muller,1
45,Roger Federer,Andy Murray,1
46,Gilles Muller,Julien Benneteau,1
47,Stan Wawrinka,Fernando Verdasco,1
48,Rafael Nadal,Tomas Berdych,1
49,Fernando Verdasco,Andreas Seppi,1
50,Feliciano Lopez,Florian Mayer,1
51,Andreas Seppi,Florian Mayer,1
52,Tomas Berdych,Philipp Kohlschreiber,1
53,Rafael Nadal,Fernando Verdasco,1
54,Andreas Seppi,Tomas Berdych,1
55,Andy Murray,Tomas Berdych,1
56,Feliciano Lopez,Fernando Verdasco,1
57,Feliciano Lopez,David Ferrer,1
58,Fernando Verdasco,Tomas Berdych,1
59,Gael Monfils,Richard Gasquet,1
60,David Ferrer,Philipp Kohlschreiber,1
61,Rafael Nadal,Fernando Verdasco,1
62,Rafael Nadal,David Ferrer,1
63,Roger Federer,Rafael Nadal,1
64,Ivo Karlovic,Julien Benneteau,1
65,Feliciano Lopez,Ivo Karlovic,1
66,Roger Federer,Gilles Muller,1
67,Roger Federer,Stan Wawrinka,1
68,Gael Monfils,Julien Benneteau,1
69,Richard Gasquet,Guillermo Garcia Lopez,1
70,Rafael Nadal,Gael Monfils,1
71,Andreas Seppi,Feliciano Lopez,1
72,Florian Mayer,Julien Benneteau,1
73,David Ferrer,Andreas Seppi,1
74,Richard Gasquet,Roger Federer,1
75,Rafael Nadal,Richard Gasquet,1
76,Roger Federer,Fernando Verdasco,1
77,Tomas Berdych,David Ferrer,1
78,Richard Gasquet,Ivo Karlovic,1
79,Roger Federer,Tomas Berdych,1
80,Richard Gasquet,Andreas Seppi,1
81,Roger Federer,Richard Gasquet,1
82,Stan Wawrinka,Tomas Berdych,1
83,Rafael Nadal,Mikhail Youzhny,1
84,Fernando Verdasco,Stan Wawrinka,1
85,Rafael Nadal,David Ferrer,1
86,Richard Gasquet,Mikhail Youzhny,1
87,Richard Gasquet,Feliciano Lopez,1
88,Tomas Berdych,Rafael Nadal,1
89,Mikhail Youzhny,Tomas Berdych,1
90,Mikhail Youzhny,Gael Monfils,1
91,Stan Wawrinka,Guillermo Garcia Lopez,1
92,David Ferrer,Fernando Verdasco,1
93,Rafael Nadal,Gilles Muller,1
94,Roger Federer,David Ferrer,1
95,Rafael Nadal,Mikhail Youzhny,1
96,Rafael Nadal,Fernando Verdasco,1
97,Roger Federer,Feliciano Lopez,1
98,Guillermo Garcia Lopez,Ivo Karlovic,1
99,Gael Monfils,Florian Mayer,1
100,Roger Federer,Mikhail Youzhny,1
101,Feliciano Lopez,Fernando Verdasco,1
102,Feliciano Lopez,Ivo Karlovic,1
103,Florian Mayer,Mikhail Youzhny,1
104,Roger Federer,Florian Mayer,1
105,Roger Federer,Philipp Kohlschreiber,1
106,Roger Federer,Dudi Sela,1
107,Mikhail Youzhny,Gilles Muller,1
108,Rafael Nadal,Richard Gasquet,1
109,Rafael Nadal,David Ferrer,1
110,Rafael Nadal,Roger Federer,1
111,Richard Gasquet,Philipp Kohlschreiber,1
112,Guillermo Garcia Lopez,David Ferrer,1
113,Florian Mayer,Fernando Verdasco,1
114,Gilles Muller,Rafael Nadal,1
115,Novak Djokovic,Guillermo Garcia Lopez,1
116,Richard Gasquet,Gilles Muller,1
117,Novak Djokovic,Gael Monfils,1
118,Tomas Berdych,Philipp Kohlschreiber,1
119,Mikhail Youzhny,Florian Mayer,1
120,Fernando Verdasco,Novak Djokovic,1
121,David Ferrer,Julien Benneteau,1
122,Guillermo Garcia Lopez,Philipp Kohlschreiber,1
123,Rafael Nadal,Guillermo Garcia Lopez,1
124,Rafael Nadal,Julien Benneteau,1
125,Fernando Verdasco,Gilles Muller,1
126,Rafael Nadal,Mikhail Youzhny,1
127,Florian Mayer,David Ferrer,1
128,Florian Mayer,Fernando Verdasco,1
129,Rafael Nadal,Andreas Seppi,1
130,Stan Wawrinka,Andy Murray,1
131,Pablo Cuevas,Victor Estrella,1
132,Novak Djokovic,Richard Gasquet,1
133,Novak Djokovic,Andy Murray,1
134,Tomas Berdych,Rafael Nadal,1
135,Stan Wawrinka,David Ferrer,1
136,Andreas Seppi,Marin Cilic,1
137,Stan Wawrinka,Florian Mayer,1
138,Yen Hsun Lu,Gilles Muller,1
139,Rafael Nadal,Fernando Verdasco,1
140,Marin Cilic,Andreas Seppi,1
141,Philipp Kohlschreiber,Fernando Verdasco,1
142,Feliciano Lopez,Marin Cilic,1
143,Richard Gasquet,Philipp Kohlschreiber,1
144,Richard Gasquet,Feliciano Lopez,1
145,Andy Murray,Sam Querrey,1
146,Florian Mayer,Gilles Simon,1
147,David Ferrer,Stan Wawrinka,1
148,David Ferrer,Florian Mayer,1
149,David Ferrer,Tomas Berdych,1
150,Gilles Simon,Andreas Seppi,1
151,Roger Federer,Guillermo Garcia Lopez,1
152,Roger Federer,David Ferrer,1
153,Roger Federer,Viktor Troicki,1
154,Fernando Verdasco,Julien Benneteau,1
155,Stan Wawrinka,Marin Cilic,1
156,Stan Wawrinka,Novak Djokovic,1
157,Andy Murray,Paolo Lorenzi,1
158,Tomas Berdych,Andy Murray,1
159,Tomas Berdych,Philipp Kohlschreiber,1
160,Richard Gasquet,Stan Wawrinka,1
161,Stan Wawrinka,Andy Murray,1
162,Roger Federer,David Ferrer,1
163,Julien Benneteau,Novak Djokovic,1
164,Philipp Kohlschreiber,David Ferrer,1
165,Fernando Verdasco,Ivo Karlovic,1
166,Roger Federer,Richard Gasquet,1
167,Novak Djokovic,Andreas Seppi,1
168,Roger Federer,Novak Djokovic,1
169,Gilles Simon,Tomas Berdych,1
170,Roger Federer,David Ferrer,1
171,Rafael Nadal,Roger Federer,1
172,David Ferrer,Feliciano Lopez,1
173,Andreas Seppi,Stan Wawrinka,1
174,Guillermo Garcia Lopez,Mikhail Youzhny,1
175,Andy Murray,Gael Monfils,1
176,Fernando Verdasco,Novak Djokovic,1
177,Mikhail Youzhny,Andreas Seppi,1
178,Rafael Nadal,Gael Monfils,1
179,Rafael Nadal,Roger Federer,1
180,Andy Murray,Feliciano Lopez,1
181,Andy Murray,David Ferrer,1
182,Tomas Berdych,Mikhail Youzhny,1
183,Richard Gasquet,Fernando Verdasco,1
184,Tomas Berdych,Rafael Nadal,1
185,Richard Gasquet,Tomas Berdych,1
186,Richard Gasquet,Andy Murray,1
187,Roger Federer,Richard Gasquet,1
188,Rafael Nadal,Sam Querrey,1
189,Andy Murray,Roger Federer,1
190,Rafael Nadal,Feliciano Lopez,1
191,David Ferrer,Andy Murray,1
192,Stan Wawrinka,David Ferrer,1
193,Stan Wawrinka,Ivo Karlovic,1
194,David Ferrer,Andreas Seppi,1
195,Feliciano Lopez,David Ferrer,1
196,Philipp Kohlschreiber,Fernando Verdasco,1
197,Philipp Kohlschreiber,Julien Benneteau,1
198,Philipp Kohlschreiber,Mikhail Youzhny,1
199,Stan Wawrinka,Marin Cilic,1
200,Stan Wawrinka,Novak Djokovic,1
201,Philipp Kohlschreiber,Julien Benneteau,1
202,Roger Federer,Gael Monfils,1
203,Roger Federer,Stan Wawrinka,1
204,Roger Federer,Mikhail Youzhny,1
205,Rafael Nadal,Roger Federer,1
206,Rafael Nadal,Gilles Simon,1
207,Roger Federer,Richard Gasquet,1
208,Roger Federer,Tomas Berdych,1
209,Tomas Berdych,Feliciano Lopez,1
210,David Ferrer,Guillermo Garcia Lopez,1
211,Gael Monfils,Andy Murray,1
212,David Ferrer,Jeremy Chardy,1
213,Roger Federer,Tomas Berdych,1
214,Novak Djokovic,Gael Monfils,1
215,Rafael Nadal,Novak Djokovic,1
216,Rafael Nadal,Roger Federer,1
217,Roger Federer,Richard Gasquet,1
218,Stan Wawrinka,Ivo Karlovic,1
219,David Ferrer,Guillermo Garcia Lopez,1
220,Andy Murray,Julien Benneteau,1
221,Novak Djokovic,Mikhail Youzhny,1
222,Roger Federer,Tomas Berdych,1
223,Roger Federer,Rafael Nadal,1
224,Sam Querrey,Philipp Kohlschreiber,1
225,Novak Djokovic,Donald Young,1
226,Tomas Berdych,Florian Mayer,1
227,Richard Gasquet,Gilles Simon,1
228,Mikhail Youzhny,David Ferrer,1
229,Mikhail Youzhny,Rafael Nadal,1
230,Guillermo Garcia Lopez,Feliciano Lopez,1
231,Fernando Verdasco,Guillermo Garcia Lopez,1
232,Gilles Simon,Andreas Seppi,1
233,Gilles Simon,Fernando Verdasco,1
234,Roger Federer,Denis Istomin,1
235,Roger Federer,Florian Mayer,1
236,Feliciano Lopez,Gilles Muller,1
237,Gilles Simon,Tomas Berdych,1
238,Julien Benneteau,Guillermo Garcia Lopez,1
239,Roger Federer,Rafael Nadal,1
240,Andreas Seppi,Stan Wawrinka,1
241,Richard Gasquet,Gilles Simon,1
242,Andreas Seppi,Andy Murray,1
243,Tomas Berdych,Robin Haase,1
244,Rafael Nadal,Andreas Seppi,1
245,David Ferrer,Andreas Seppi,1
246,Novak Djokovic,Stan Wawrinka,1
247,Roger Federer,Novak Djokovic,1
248,Novak Djokovic,Dudi Sela,1
249,Andy Murray,Alexandr Dolgopolov,1
250,Feliciano Lopez,David Ferrer,1
251,Novak Djokovic,Fernando Verdasco,1
252,Rafael Nadal,Andy Murray,1
253,Roger Federer,Feliciano Lopez,1
254,Ivo Karlovic,Feliciano Lopez,1
255,Tomas Berdych,Mischa Zverev,1
256,Tomas Berdych,Ivo Karlovic,1
257,Gael Monfils,Sam Querrey,1
258,Tomas Berdych,Florian Mayer,1
259,Mikhail Youzhny,Tomas Berdych,1
260,Philipp Kohlschreiber,Mikhail Youzhny,1
261,Gilles Simon,Viktor Troicki,1
262,David Ferrer,Guillermo Garcia Lopez,1
263,David Ferrer,Gilles Simon,1
264,Steve Darcis,Gilles Simon,1
265,Steve Darcis,Mikhail Youzhny,1
266,Andreas Seppi,Feliciano Lopez,1
267,Andreas Seppi,Fabio Fognini,1
268,Fernando Verdasco,Florian Mayer,1
269,David Ferrer,Lukas Lacko,1
270,Rafael Nadal,Philipp Kohlschreiber,1
271,Feliciano Lopez,Tomas Berdych,1
272,Fernando Verdasco,David Ferrer,1
273,Stan Wawrinka,Marin Cilic,1
274,Rafael Nadal,Feliciano Lopez,1
275,Rafael Nadal,Stan Wawrinka,1
276,Tomas Berdych,Feliciano Lopez,1
277,Tomas Berdych,Stan Wawrinka,1
278,Ivo Karlovic,Tomas Berdych,1
279,Roger Federer,Ivo Karlovic,1
280,Mischa Zverev,Fabio Fognini,1
281,Fernando Verdasco,Mischa Zverev,1
282,David Ferrer,Feliciano Lopez,1
283,Richard Gasquet,Dudi Sela,1
284,Tomas Berdych,Fernando Verdasco,1
285,David Ferrer,Ivo Karlovic,1
286,Richard Gasquet,Tomas Berdych,1
287,David Ferrer,Richard Gasquet,1
288,David Ferrer,John Isner,1
289,Stan Wawrinka,Gael Monfils,1
290,Andreas Seppi,Robin Haase,1
291,Stan Wawrinka,Feliciano Lopez,1
292,Novak Djokovic,Andreas Seppi,1
293,Novak Djokovic,Stan Wawrinka,1
294,Richard Gasquet,Julien Benneteau,1
295,Richard Gasquet,Florian Mayer,1
296,Richard Gasquet,Fabio Fognini,1
