rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Roger Federer,Switzerland,SUI,2444,1,2003-08-11,0,0,2550
2,Novak Djokovic,Serbia,SRB,2418,1,2011-03-21,0,0,2629
3,Andy Murray,United Kingdom,GBR,2353,2,2009-04-19,0,0,2500
4,Rafael Nadal,Spain,ESP,2350,1,2008-06-16,0,0,2552
5,Juan Martin Del Potro,Argentina,ARG,2243,3,2010-06-07,0,0,2331
6,Stan Wawrinka,Switzerland,SUI,2207,5,2014-02-17,0,-1,2291
7,Grigor Dimitrov,Bulgaria,BUL,2197,6,2018-01-29,0,0,2203
8,Kei Nishikori,Japan,JPN,2185,4,2016-09-12,0,-1,2296
9,Milos Raonic,Canada,CAN,2173,5,2016-07-11,0,-1,2269
10,David Goffin,Belgium,BEL,2165,8,2018-05-21,1,18,2165
11,Alexander Zverev,Germany,GER,2153,5,2017-08-14,-1,0,2231
12,Marin Cilic,Croatia,CRO,2143,6,2014-09-08,0,0,2232
13,Tomas Berdych,Czech Republic,CZE,2137,5,2007-07-09,0,0,2263
14,Jo Wilfried Tsonga,France,FRA,2119,6,2009-03-02,0,-6,2244
15,Nick Kyrgios,Australia,AUS,2103,10,2017-04-14,0,0,2176
16,Roberto Bautista Agut,Spain,ESP,2100,9,2019-07-15,0,0,2135
17,Gael Monfils,France,FRA,2089,7,2010-11-28,0,0,2189
18,Dominic Thiem,Austria,AUT,2082,4,2020-02-03,0,0,2250
19,Jack Sock,United States,USA,2076,13,2017-03-20,0,0,2144
20,Richard Gasquet,France,FRA,2068,9,2007-10-08,0,0,2196
21,John Isner,United States,USA,2065,10,2012-04-13,0,0,2147
22,Kevin Anderson,South Africa,RSA,2055,6,2019-04-15,0,0,2181
23,Gilles Muller,Luxembourg,LUX,2044,18,2017-07-24,0,-1,2098
24,Philipp Kohlschreiber,Germany,GER,2042,14,2016-05-02,0,0,2117
25,Lucas Pouille,France,FRA,2036,20,2016-09-26,0,0,2069
26,Fabio Fognini,Italy,ITA,2032,14,2014-04-11,0,0,2112
27,Sam Querrey,United States,USA,2028,18,2013-04-21,0,0,2068
28,David Ferrer,Spain,ESP,2027,4,2007-11-19,0,0,2348
29,Diego Sebastian Schwartzman,Argentina,ARG,2019,11,2020-11-02,0,0,2097
30,Adrian Mannarino,France,FRA,2003,29,2018-01-15,0,0,2004
31,Feliciano Lopez,Spain,ESP,1997,16,2014-10-12,0,0,2074
32,Damir Dzumhur,Bosnia and Herzegovina,BIH,1993,32,2017-10-02,0,0,1994
33,Pablo Carreno Busta,Spain,ESP,1992,12,2021-03-15,0,0,2075
34,Alexandr Dolgopolov,Ukraine,UKR,1989,22,2014-04-14,0,0,2057
35,Fernando Verdasco,Spain,ESP,1986,7,2009-05-04,0,0,2204
36,Steve Johnson,United States,USA,1976,21,2017-04-17,0,0,2042
37,Albert Ramos,Spain,ESP,1944,25,2017-05-01,0,0,2014
38,Hyeon Chung,"Korea, Republic of",KOR,1943,21,2018-04-02,0,0,2049
39,Marcos Baghdatis,Cyprus,CYP,1941,9,2007-08-20,0,-1,2098
40,Kyle Edmund,United Kingdom,GBR,1941,24,2018-08-06,0,0,2038
41,Leonardo Mayer,Argentina,ARG,1940,28,2014-08-11,0,0,1999
42,Julien Benneteau,France,FRA,1932,25,2013-02-18,0,0,2027
43,Mischa Zverev,Germany,GER,1931,37,2017-01-30,0,0,1968
44,Nicolas Almagro,Spain,ESP,1930,9,2012-07-23,0,0,2160
45,Viktor Troicki,Serbia,SRB,1929,15,2011-04-03,0,0,2091
46,Borna Coric,Croatia,CRO,1928,13,2019-01-07,0,0,2102
47,Andrey Rublev,Russian Federation,RUS,1926,5,2020-11-02,1,0,2227
48,Radek Stepanek,Czech Republic,CZE,1926,10,2009-11-29,-1,-1,2136
49,Juan Monaco,Argentina,ARG,1922,12,2012-07-23,0,0,2125
50,Pablo Cuevas,Uruguay,URU,1920,26,2016-05-09,0,0,2004
51,Gilles Simon,France,FRA,1914,9,2009-01-11,1,0,2124
52,Robin Haase,Netherlands,NED,1914,44,2011-09-26,1,0,1946
53,Donald Young,United States,USA,1912,34,2017-04-03,1,0,1976
54,Federico Delbonis,Argentina,ARG,1910,41,2016-04-11,1,-1,1953
55,Jan Lennard Struff,Germany,GER,1909,24,2020-09-14,1,0,2037
56,Ryan Harrison,United States,USA,1908,38,2017-02-27,1,0,1953
57,Yuichi Sugita,Japan,JPN,1905,43,2017-10-23,1,0,1933
58,Andreas Seppi,Italy,ITA,1904,21,2015-08-03,1,0,2030
59,Jared Donaldson,United States,USA,1902,48,2017-10-16,1,0,1927
60,Steve Darcis,Belgium,BEL,1902,41,2017-04-14,-9,-15,1950
61,Andrey Kuznetsov,Russian Federation,RUS,1901,30,2016-09-23,0,0,1998
62,Florian Mayer,Germany,GER,1899,22,2011-11-14,0,0,2044
63,Jerzy Janowicz,Poland,POL,1899,25,2014-02-17,0,0,2027
64,Denis Istomin,Uzbekistan,UZB,1897,31,2014-07-14,0,0,1987
65,Karen Khachanov,Russian Federation,RUS,1897,10,2019-02-08,0,0,2137
66,Ivo Karlovic,Croatia,CRO,1896,17,2007-11-04,0,0,2061
67,Peter Gojowczyk,Germany,GER,1893,44,2018-02-26,0,0,1935
68,Benoit Paire,France,FRA,1892,25,2016-01-11,0,0,2003
69,Jeremy Chardy,France,FRA,1891,23,2015-09-14,0,0,2016
70,Nicolas Mahut,France,FRA,1889,35,2016-10-10,0,0,1970
71,Tommy Robredo,Spain,ESP,1887,10,2006-05-22,0,0,2107
72,Jiri Vesely,Czech Republic,CZE,1886,38,2017-08-07,0,0,1952
73,Guido Pella,Argentina,ARG,1886,29,2019-08-12,1,0,2009
74,Daniel Evans,United Kingdom,GBR,1886,25,2021-02-08,-1,0,2002
75,Aljaz Bedene,Slovenia,SLO,1885,42,2018-05-21,0,0,1939
76,John Millman,Australia,AUS,1883,38,2018-09-10,0,0,1954
77,Mikhail Kukushkin,Kazakhstan,KAZ,1882,41,2019-02-25,0,0,1943
78,Bernard Tomic,Australia,AUS,1876,21,2015-03-23,1,0,2037
79,Yoshihito Nishioka,Japan,JPN,1876,33,2020-02-24,-1,-1,1977
80,Denis Shapovalov,Canada,CAN,1875,16,2019-11-26,0,0,2075
81,Horacio Zeballos,Argentina,ARG,1870,50,2017-06-12,0,0,1927
82,Ernests Gulbis,Latvia,LAT,1867,10,2014-06-09,0,0,2167
83,Daniil Medvedev,Russian Federation,RUS,1857,4,2019-10-14,0,0,2289
84,Simone Bolelli,Italy,ITA,1856,39,2015-08-10,0,0,1959
85,Martin Klizan,Slovakia,SVK,1856,26,2018-10-01,0,0,1998
86,Dudi Sela,Israel,ISR,1855,45,2009-07-06,0,0,1941
87,Taylor Harry Fritz,United States,USA,1854,29,2019-08-05,0,0,1999
88,Dustin Brown,Germany,GER,1854,51,2017-01-09,0,0,1916
