,Player1,Player2,Outcome
1,Bernard Tomic,Jeremy Chardy,1
17,Fabio Fognini,Kei Nishikori,1
20,Marcel Granollers,Novak Djokovic,-1
30,Bernard Tomic,Feliciano Lopez,1
43,Tomas Berdych,Philipp Kohlschreiber,1
44,Adrian Mannarino,Richard Gasquet,-1
56,Gilles Simon,Roger Federer,1
57,Rafael Nadal,Bernard Tomic,1
58,John Isner,Marin Cilic,1
65,Tomas Berdych,Richard Gasquet,1
66,Kei Nishikori,Fernando Verdasco,-1
73,Rafael Nadal,Marin Cilic,1
77,Tomas Berdych,Fernando Verdasco,1
83,Tomas Berdych,Novak Djokovic,-1
86,Novak Djokovic,Roger Federer,1
179,Rafael Nadal,John Isner,1
181,Sam Querrey,Philipp Kohlschreiber,1
208,Feliciano Lopez,Roger Federer,-1
210,Fabio Fognini,Denis Istomin,1
217,Juan Martin Del Potro,Ivo Karlovic,1
221,Rafael Nadal,Pablo Andujar,1
226,Jeremy Chardy,Gilles Simon,1
244,Richard Gasquet,Marcel Granollers,1
263,Juan Martin Del Potro,Novak Djokovic,1
271,Richard Gasquet,Novak Djokovic,-1
274,Gael Monfils,Roger Federer,-1
276,Roger Federer,Novak Djokovic,1
277,Rafael Nadal,Roger Federer,1
376,Grigor Dimitrov,Gael Monfils,-1
378,Ryan Harrison,Marin Cilic,-1
404,Ivo Karlovic,Richard Gasquet,1
405,Tomas Berdych,Fabio Fognini,1
409,Bernard Tomic,Marin Cilic,-1
431,Roger Federer,Marin Cilic,1
436,Juan Martin Del Potro,Gilles Simon,1
454,Novak Djokovic,Roger Federer,1
456,Novak Djokovic,Rafael Nadal,1
542,Mikhail Kukushkin,Roger Federer,-1
548,Jeremy Chardy,Novak Djokovic,-1
553,Robin Haase,Fernando Verdasco,1
563,Adrian Mannarino,Roger Federer,-1
569,Kevin Anderson,Novak Djokovic,-1
571,Juan Martin Del Potro,Gilles Simon,1
583,Rafael Nadal,Juan Martin Del Potro,1
594,Bernard Tomic,Novak Djokovic,1
597,Rafael Nadal,Novak Djokovic,1
657,Andreas Seppi,Richard Gasquet,1
668,Adrian Mannarino,Juan Martin Del Potro,1
670,Bernard Tomic,Fernando Verdasco,1
672,Tomas Berdych,Albert Ramos,1
675,Jeremy Chardy,Grigor Dimitrov,1
692,Matthew Ebden,Kei Nishikori,1
698,Sam Querrey,Bernard Tomic,1
711,Mikhail Kukushkin,Gael Monfils,1
717,Ivo Karlovic,Roger Federer,-1
718,Tomas Berdych,Kevin Anderson,1
720,John Isner,Feliciano Lopez,1
726,Bernard Tomic,Roger Federer,-1
728,Feliciano Lopez,Rafael Nadal,-1
731,Juan Martin Del Potro,Roger Federer,-1
732,Tomas Berdych,Rafael Nadal,1
734,Roger Federer,Rafael Nadal,1
735,Novak Djokovic,Rafael Nadal,1
821,Gilles Simon,Ryan Harrison,1
831,Benoit Paire,Albert Ramos,1
862,Marcel Granollers,Malek Jaziri,1
870,Philipp Kohlschreiber,Leonardo Mayer,-1
874,Denis Istomin,Rafael Nadal,-1
876,Andreas Seppi,Fernando Verdasco,1
881,Juan Martin Del Potro,Marin Cilic,1
882,Kevin Anderson,Tomas Berdych,1
891,Novak Djokovic,Andreas Seppi,1
893,Roger Federer,David Goffin,1
894,Juan Martin Del Potro,Tomas Berdych,1
899,Roger Federer,Juan Martin Del Potro,1
902,Novak Djokovic,Roger Federer,1
904,Novak Djokovic,Rafael Nadal,1
999,David Goffin,Tomas Berdych,-1
1005,Guido Andreozzi,Kei Nishikori,-1
