Player,Class
Roger Federer,3
Novak Djokovic,3
Andy Murray,3
Rafael Nadal,0
Stan Wawrinka,3
Grigor Dimitrov,2
Kei Nishikori,1
Milos Raonic,3
David Goffin,1
Alexander Zverev,1
Marin Cilic,3
Tomas Berdych,3
Nick Kyrgios,1
Roberto Bautista Agut,1
Gael Monfils,3
Dominic Thiem,2
Jack Sock,1
Richard Gasquet,2
John Isner,3
Kevin Anderson,1
Gilles Muller,0
Philipp Kohlschreiber,2
Lucas Pouille,1
Fabio Fognini,1
Sam Querrey,1
David Ferrer,3
Adrian Mannarino,0
Feliciano Lopez,0
Damir Dzumhur,1
Pablo Carreno Busta,1
Alexandr Dolgopolov,1
Fernando Verdasco,0
Steve Johnson,1
Hyeon Chung,1
Marcos Baghdatis,1
Kyle Edmund,1
Leonardo Mayer,2
Julien Benneteau,1
Mischa Zverev,0
Nicolas Almagro,2
Viktor Troicki,1
Borna Coric,1
Andrey Rublev,1
Radek Stepanek,1
Juan Monaco,1
Pablo Cuevas,2
Gilles Simon,1
Robin Haase,1
Donald Young,0
Federico Delbonis,0
Ryan Harrison,1
Yuichi Sugita,1
Andreas Seppi,1
Jared Donaldson,1
Steve Darcis,2
Andrey Kuznetsov,1
Florian Mayer,1
Jerzy Janowicz,1
Denis Istomin,1
Karen Khachanov,1
Ivo Karlovic,2
Peter Gojowczyk,1
Benoit Paire,1
Jeremy Chardy,1
Nicolas Mahut,2
Tommy Robredo,2
Jiri Vesely,0
Guido Pella,0
Daniel Evans,2
Aljaz Bedene,1
John Millman,1
Mikhail Kukushkin,1
Bernard Tomic,1
Yoshihito Nishioka,0
Denis Shapovalov,0
Horacio Zeballos,0
Ernests Gulbis,1
Daniil Medvedev,1
Simone Bolelli,2
Martin Klizan,0
Dudi Sela,2
Dustin Brown,1
Marton Fucsovics,1
Lukas Rosol,1
Dusan Lajovic,2
Ruben Bemelmans,0
Nikoloz Basilashvili,1
Darian King,1
Vasek Pospisil,1
Sergiy Stakhovsky,2
Filip Krajinovic,1
Thomaz Bellucci,0
Tommy Haas,2
