,nServes,Ace_Avg,SSpeed,nPlays,nNets,Net_Avg,Net_Win,Unf_Err
Roger Federer,13235.0,0.0982999622213827,104.44888553078957,815673.0,4030.0,0.00511479477682846,0.7330024813895781,0.004400047568081817
Novak Djokovic,15930.0,0.07168863779033272,103.21249215317012,888535.0,3350.0,0.003897426662990203,0.7295522388059702,0.004786530637510058
Andy Murray,15843.0,0.07694249826421763,98.79221107113551,856429.0,2829.0,0.003464385255520306,0.7575114881583599,0.0044802312859559875
Rafael Nadal,11332.0,0.05153547476173667,100.88669255206494,797522.0,1765.0,0.0023196852249843893,0.8164305949008499,0.003084554407276539
Juan Martin Del Potro,5285.0,0.10785241248817408,103.84011352885526,446865.0,971.0,0.0023138979333803275,0.6930998970133883,0.0028666375751065756
Stan Wawrinka,7464.0,0.08453912111468381,101.04849946409432,523136.0,1451.0,0.002773657328113531,0.7070985527222605,0.0044978743577195985
Grigor Dimitrov,6455.0,0.08288148721920992,100.95693261037955,765075.0,1478.0,0.0019501356076201673,0.7483085250338295,0.002191941966473875
Kei Nishikori,8778.0,0.050694919115971744,93.33948507632718,832399.0,1450.0,0.0017791948332470365,0.7117241379310345,0.0029252798237383755
Milos Raonic,9275.0,0.16463611859838279,107.43611859838275,793481.0,2864.0,0.0036232751634884767,0.6574720670391061,0.0033346734200314816
David Goffin,5245.0,0.07511916110581507,86.6741658722593,679886.0,849.0,0.0012487387591449154,0.6843345111896348,0.001876785225758436
Alexander Zverev,2291.0,0.0894805761676124,80.03710170231341,328902.0,429.0,0.0013043398945582574,0.6456876456876457,0.0018607366327963953
Marin Cilic,8783.0,0.11966298531253558,97.39280428099738,823737.0,1688.0,0.0020783332544246523,0.7215639810426541,0.00309443426724792
Tomas Berdych,10922.0,0.09696026368796924,102.87813587255081,888195.0,2406.0,0.0027246269118830885,0.7069825436408976,0.003182859619790699
Jo Wilfried Tsonga,3941.0,0.11012433392539965,102.8076630296879,355089.0,941.0,0.0026500398491645758,0.7353878852284803,0.002726077124326577
Nick Kyrgios,5011.0,0.15106765116743165,99.4003192975454,639382.0,791.0,0.0012371321056895564,0.6207332490518331,0.002034777331861078
Roberto Bautista Agut,4865.0,0.047687564234326824,72.46659815005138,664223.0,727.0,0.0010945119334922157,0.7262723521320495,0.0018517877279166787
Gael Monfils,8270.0,0.08089480048367594,99.08415961305926,776691.0,1375.0,0.0018823444587358423,0.7032727272727273,0.002881454787038861
Dominic Thiem,4842.0,0.06361007847996696,84.83849648905411,551867.0,799.0,0.0014478126070230689,0.723404255319149,0.002622008563657548
Jack Sock,4622.0,0.08719169190826483,78.24816096927738,658331.0,875.0,0.0013427895693807524,0.6971428571428572,0.0018227912706526047
Richard Gasquet,8946.0,0.07902973395931143,96.98267382070198,877595.0,2069.0,0.0023963217657347637,0.7153214113098115,0.0022174237546932238
John Isner,8654.0,0.18026346198289808,105.66443263230876,860404.0,2371.0,0.002806820981771354,0.6533108393083087,0.0029265321872050803
Kevin Anderson,7411.0,0.12980704358386183,93.47807313452975,844964.0,1705.0,0.00203322271718085,0.6451612903225806,0.0021918093551914633
Gilles Muller,3496.0,0.1455949656750572,86.1086956521739,580852.0,1128.0,0.0019540261546831207,0.6843971631205674,0.0015769937953213555
Philipp Kohlschreiber,5218.0,0.07397470295132234,91.13070141816787,844186.0,934.0,0.0011075758185992188,0.708779443254818,0.0015754821804673377
Lucas Pouille,3346.0,0.08338314405260012,86.54961147638971,476334.0,749.0,0.0015724260707822661,0.6421895861148197,0.002038485600440027
Fabio Fognini,5221.0,0.050373491668262785,74.67305113962843,778604.0,953.0,0.0012599472902784983,0.7429171038824763,0.0021654139973593767
Sam Querrey,6665.0,0.1398349587396849,90.77944486121531,870616.0,1341.0,0.0015517748352890366,0.6890380313199105,0.002064055794977349
David Ferrer,10950.0,0.043287671232876704,94.7529680365297,843732.0,2045.0,0.0025197574585294857,0.7701711491442543,0.003307922420863497
Diego Sebastian Schwartzman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Mannarino,3584.0,0.06361607142857142,75.80189732142857,803535.0,713.0,0.0008923071179226792,0.6760168302945302,0.0013353494247294766
Feliciano Lopez,6608.0,0.12590799031476993,91.39664043583535,917266.0,2084.0,0.00231230635388208,0.6343570057581573,0.0019263768634180268
Damir Dzumhur,1801.0,0.03220433092726263,53.5446973903387,464514.0,448.0,0.0009644488648350751,0.6383928571428571,0.001128060725833882
Pablo Carreno Busta,2480.0,0.06774193548387097,86.59637096774193,477839.0,379.0,0.0007931541795458303,0.6596306068601583,0.0012556530546899687
Alexandr Dolgopolov,4188.0,0.11174785100286533,75.81685768863419,632315.0,774.0,0.0012825885832219702,0.718346253229974,0.0019151846785225722
Fernando Verdasco,7207.0,0.07367836825308728,88.85000693769946,917266.0,1017.0,0.0011468865083846997,0.7079646017699115,0.0021978357423037584
Steve Johnson,4306.0,0.09777055271713887,80.01834649326521,666931.0,842.0,0.0012669976354375491,0.6888361045130641,0.0018082830157842415
Albert Ramos,1097.0,0.059252506836827715,83.09389243391067,275187.0,148.0,0.0005414499958210236,0.6351351351351351,0.0010574627435162272
Hyeon Chung,1169.0,0.07356715141146279,84.41573994867409,257715.0,145.0,0.0005626370215160158,0.7172413793103448,0.0010476689366160294
Marcos Baghdatis,5288.0,0.08188350983358547,89.95518154311648,844486.0,949.0,0.0011805997967994732,0.6691253951527925,0.0016033421513204481
Kyle Edmund,2231.0,0.06768265351860152,85.23487225459435,432631.0,322.0,0.0007442832344422846,0.7267080745341615,0.0012574226072565304
Leonardo Mayer,3572.0,0.07138857782754758,78.31578947368423,630916.0,759.0,0.0012125227447076948,0.6469038208168643,0.0017482517482517483
Julien Benneteau,4360.0,0.08486238532110094,89.94197247706423,705232.0,1087.0,0.001558352428704313,0.6669733210671573,0.001453422419856161
Mischa Zverev,1353.0,0.08721359940872137,75.49445676274945,215315.0,736.0,0.003418247683626315,0.5557065217391305,0.0009938926688804774
Nicolas Almagro,5452.0,0.11500366837857667,94.05465884079237,668218.0,728.0,0.0011433394491019398,0.712912087912088,0.002271713722168514
Viktor Troicki,4966.0,0.08940797422472815,82.86931131695529,645590.0,1185.0,0.0019021360306076612,0.6531645569620254,0.0020152108923620253
Borna Coric,1944.0,0.07613168724279835,57.86934156378601,394760.0,362.0,0.0009170128685783767,0.6933701657458564,0.0011779308947208432
Andrey Rublev,1300.0,0.07153846153846154,63.09,186187.0,154.0,0.0008271254169195486,0.7077922077922078,0.0020033622111103352
